a	một,
fund	quỹ,
funny	buồn cười,
fur	lông thú,
furthermore	hơn nữa,
future	Tương lai,
gain	thu được,
galaxy	Thiên hà,
gallery	bộ sưu tập,
game	trò chơi,
garage	gara,
garbage	rác thải,
garden	vườn,
gas	khí đốt,
gasoline	xăng,
gather	tụ họp,
gathering	thu thập,
gaze	nhìn chằm chằm,
gender	giới tính,
general	chung,
generally	nói chung là,
generate	tạo ra,
generation	thế hệ,
generous	hào phóng,
genius	Thiên tài,
genre	thể loại,
gentle	dịu dàng,
genuine	chính hãng,
German	tiếng Đức,
get	được,
ghost	ma,
giant	khổng lồ,
gift	quà tặng,
gifted	năng khiếu,
girl	con gái,
girlfriend	bạn gái,
give	đưa cho,
given	được,
glance	nháy mắt,
glass	ly,
glimpse	nhìn thoáng qua,
global	toàn cầu,
globe	quả địa cầu,
glory	vinh quang,
glove	găng tay,
go	đi,
goal	mục tiêu,
goat	con dê,
God	thần,
gold	vàng,
golden	vàng,
golf	golf,
good	tốt,
govern	quản lý,
government	chính quyền,
governor	thống đốc,
grab	vồ lấy,
grace	ân sủng,
grade	cấp,
graduation	tốt nghiệp,
grain	ngũ cốc,
grandchild	cháu ngoại,
grandparent	ông bà,
grant	ban cho,
grape	giống nho,
grasp	sự hiểu biết,
grateful	tri ân,
grave	phần mộ,
gravity	nghiêm trọng,
gray	màu xám,
great	tuyệt quá,
greatest	vĩ đại nhất,
greatly	rất nhiều,
Greek	người Hy Lạp,
green	màu xanh lá,
greet	chào hỏi,
grief	đau buồn,
grin	nụ cười,
grip	nắm chặt,
grocery	tạp hóa,
gross	Tổng,
ground	đất,
group	nhóm,
grow	lớn lên,
growing	phát triển,
growth	sự phát triển,
guarantee	Bảo hành,
guard	bảo vệ,
guess	phỏng đoán,
guest	khách,
guidance	hướng dẫn,
guide	hướng dẫn,
guideline	hướng dẫn,
guilt	tội lỗi,
guitar	đàn ghi ta,
gun	súng,
gut	ruột,
guy	chàng,
gym	phòng thể dục,
ha	ha,
habitat	môi trường sống,
hair	tóc,
half	một nửa,
halfway	nửa chừng,
hall	đại sảnh,
hallway	hành lang,
hand	tay,
handful	ít,
handle	xử lý,
handsome	đẹp,
hang	treo,
happen	xảy ra,
happily	hạnh phúc,
happiness	hạnh phúc,
happy	vui mừng,
harassment	quấy rối,
hard	cứng,
hardly	khó khăn,
hardware	phần cứng,
harm	làm hại,
harmony	hòa hợp,
harsh	khắc nghiệt,
harvest	mùa gặt,
hate	ghét bỏ,
haul	lôi,
hazard	nguy hiểm,
he	anh ta,
head	cái đầu,
headache	đau đầu,
headline	tiêu đề,
heal	chữa lành,
health	Sức khỏe,
healthy	khỏe mạnh,
hear	Nghe,
hearing	thính giác,
heart	tim,
heat	nhiệt,
heavy	nặng,
heel	gót chân,
helicopter	máy bay trực thăng,
hell	Địa ngục,
helmet	mũ bảo hiểm,
help	Cứu giúp,
helpful	Hữu ích,
hence	vì thế,
her	cô ấy,
herb	thảo mộc,
here	đây,
heritage	gia tài,
hero	anh hùng,
hers	của cô ấy,
herself	cô ấy,
hesitate	do dự,
hey	Chào,
hidden	ẩn,
hide	ẩn giấu,
high	cao,
highlight	Điểm nổi bật,
highly	cao,
hightech	công nghệ cao,
hike	đi lang thang,
him	anh ta,
himself	bản thân anh ấy,
hint	dấu,
hire	thuê mướn,
his	của anh ấy,
Hispanic	Người Hispanic,
historical	lịch sử,
historically	lịch sử,
history	lịch sử,
hit	đánh,
hockey	khúc côn cầu,
hold	giữ,
hole	lỗ,
holiday	ngày lễ,
home	nhà,
homeland	quê hương,
homeless	Vô gia cư,
homework	bài tập về nhà,
honestly	thành thật,
hook	cái móc,
hope	mong,
hopefully	hy vọng,
horizon	đường chân trời,
hormone	hoocmon,
horn	sừng,
horrible	kinh khủng,
horror	kinh dị,
horse	con ngựa,
hospital	bệnh viện,
host	chủ nhà,
hostage	con tin,
hostile	Hostile,
hot	nóng bức,
hotel	khách sạn,
hour	giờ,
house	nhà ở,
household	hộ gia đình,
how	làm sao,
however	Tuy nhiên,
hug	ôm,
huge	khổng lồ,
huh	Huh,
human	Nhân loại,
humanity	nhân loại,
humor	hài hước,
hundred	hàng trăm,
hunger	đói,
hungry	đói bụng,
hunt	săn bắn,
hunter	thợ săn,
hurricane	bão,
hurry	vội,
hurt	đau,
husband	người chồng,
hypothesis	giả thuyết,
I	tôi,
ice	Nước đá,
icon	biểu tượng,
idea	ý kiến,
ideal	lý tưởng,
identical	giống nhau,
identification	nhận biết,
identify	nhận định,
identity	danh tính,
ideological	ý thức hệ,
ideology	hệ tư tưởng,
if	nếu,
ignore	bỏ qua,
illusion	ảo giác,
image	hình ảnh,
imagine	tưởng tượng,
immediately	ngay,
immune	miễn dịch,
impact	va chạm,
implementation	thực hiện,
import	nhập khẩu,
importance	tầm quan trọng,
important	quan trọng,
importantly	quan trọng,
impossible	Không thể nào,
impress	gây ấn tượng,
impressive	ấn tượng,
improve	cải tiến,
improved	cải tiến,
improvement	cải tiến,
impulse	thúc đẩy,
in	trong,
incident	biến cố,
include	bao gồm,
including	kể cả,
income	thu nhập,
increase	tăng,
increasingly	ngày càng,
incredible	đáng kinh ngạc,
incredibly	vô cùng,
indeed	thật,
independent	độc lập,
Indian	người Ấn Độ,
indicate	biểu thị,
indication	dấu hiệu,
indicator	chỉ thị,
indigenous	bản địa,
individual	cá nhân,
industrial	công nghiệp,
industry	ngành công nghiệp,
inevitable	chắc chắn xảy ra,
inevitably	chắc chắn,
infant	trẻ sơ sinh,
inflation	lạm phát,
influence	ảnh hưởng,
influential	có ảnh hưởng,
informal	không chính thức,
information	thông tin,
infrastructure	cơ sở hạ tầng,
inherent	vốn có,
inherit	thừa kế,
initial	ban đầu,
initiate	bắt đầu,
injure	làm bị thương,
injury	chấn thương,
inmate	tù nhân,
innovation	đổi mới,
innovative	sáng tạo,
input	đầu vào,
inquiry	yêu cầu,
insect	côn trùng,
insert	chèn,
inside	phía trong,
insist	năn nỉ,
inspection	kiểm tra,
inspector	thanh tra,
inspiration	cảm hứng,
installation	cài đặt,
instant	tức thời,
instantly	ngay lập tức,
instead	thay thế,
instinct	bản năng,
institution	tổ chức,
institutional	thể chế,
instruct	dạy,
instruction	chỉ dẫn,
instructional	hướng dẫn,
instructor	giảng viên,
instrument	dụng cụ,
insurance	bảo hiểm,
intact	nguyên vẹn,
integrate	tích hợp,
integrated	tích hợp,
integration	hội nhập,
integrity	chính trực,
intellectual	trí tuệ,
intelligence	Sự thông minh,
intelligent	thông minh,
intend	dự định,
intensity	cường độ,
intent	ý định,
interact	tương tác,
interest	quan tâm,
interested	quan tâm,
interesting	hấp dẫn,
interfere	gây trở ngại,
interior	Nội địa,
internal	bên trong,
international	quốc tế,
Internet	Internet,
interrupt	làm gián đoạn,
interval	khoảng thời gian,
intervention	can thiệp,
interview	phỏng vấn,
intimate	thân mật,
into	vào,
introduce	giới thiệu,
invade	xâm chiếm,
invasion	cuộc xâm lăng,
invent	phát minh,
invention	sự phát minh,
inventory	hàng tồn kho,
investigate	điều tra,
investigation	cuộc điều tra,
investment	đầu tư,
investor	nhà đầu tư,
invisible	vô hình,
invitation	lời mời,
invite	mời gọi,
involve	liên quan,
involved	có tính liên quan,
Iraqi	Iraqi,
ironically	trớ trêu thay,
irony	mỉa mai,
Islam	đạo Hồi,
island	Đảo,
isolate	cô lập,
isolated	bị cô lập,
isolation	cô lập,
Israeli	Israeli,
issue	vấn đề,
it	nó,
item	mục,
its	của nó,
itself	chính no,
Japanese	tiếng Nhật,
jar	lọ,
jaw	hàm,
jazz	jazz,
jeans	Quần jean,
jet	máy bay phản lực,
jewelry	đồ trang sức,
Jewish	Người Do thái,
job	việc làm,
join	tham gia,
joke	đùa,
journalism	báo chí,
judge	thẩm phán,
judgment	phán đoán,
judicial	tư pháp,
jump	nhảy,
jungle	rừng nhiệt đới,
jurisdiction	quyền hạn,
juror	bồi thẩm đoàn,
jury	ban bồi thẩm,
just	chỉ,
justice	Sự công bằng,
keep	giữ,
key	Chìa khóa,
kick	đá,
kid	đứa trẻ,
kill	giết chết,
killing	giết chết,
kind	loại,
kingdom	Vương quốc,
kiss	hôn,
kit	bộ dụng cụ,
kitchen	phòng bếp,
knee	đầu gối,
kneel	quỳ xuống,
know	biết,
knowledge	hiểu biết,
known	nổi tiếng,
Korean	Hàn Quốc,
label	nhãn,
labor	lao động,
laboratory	phòng thí nghiệm,
lack	thiếu sót,
ladder	thang,
lady	quý bà,
lamp	đèn,
land	đất đai,
landing	đổ bộ,
landmark	mốc,
landscape	phong cảnh,
lane	lane,
language	ngôn ngữ,
lap	vòng,
large	lớn,
largely	phần lớn,
laser	laser,
last	Cuối cùng,
late	muộn,
lately	gần đây,
later	một lát sau,
laugh	cười,
laughter	tiếng cười,
launch	phóng,
laundry	giặt ủi,
law	pháp luật,
lawmaker	nhà lập pháp,
lawyer	luật sư,
lay	đặt nằm,
lead	chì,
leader	lãnh đạo,
leadership	khả năng lãnh đạo,
leaf	lá,
league	liên đoàn,
lean	nạc,
leap	nhảy vọt,
learn	học hỏi,
learning	học tập,
least	ít nhất,
leave	rời khỏi,
lecture	bài học,
left	trái,
leg	Chân,
legacy	di sản,
legal	hợp pháp,
legally	hợp pháp,
legend	huyền thoại,
legislative	lập pháp,
legislator	nhà lập pháp,
legislature	cơ quan lập pháp,
legitimate	hợp pháp,
lemon	Chanh,
lend	cho vay,
length	chiều dài,
lens	ống kính,
less	ít hơn,
lesson	bài học,
let	để cho,
letter	lá thư,
level	cấp độ,
liability	trách nhiệm pháp lý,
liberal	tự do,
liberty	tự do,
lid	Nắp,
lie	nói dối,
life	đời sống,
lifestyle	lối sống,
lift	thang máy,
light	ánh sáng,
lighting	thắp sáng,
lightly	nhẹ nhàng,
lightning	sét đánh,
like	như,
likelihood	khả năng,
likely	có khả năng,
likewise	tương tự,
limb	chân tay,
limit	giới hạn,
limitation	giới hạn,
limited	giới hạn,
line	hàng,
link	liên kết,
lion	sư tử,
lip	môi,
liquid	chất lỏng,
list	danh sách,
listen	nghe,
listener	người nghe,
literature	văn chương,
little	ít,
live	trực tiếp,
liver	Gan,
living	sống,
loan	tiền vay,
lobby	sảnh đợi,
local	địa phương,
locate	định vị,
location	vị trí,
lock	Khóa,
log	đăng nhập,
logic	logic,
logical	hợp lý,
lonely	cô đơn,
long	Dài,
longterm	dài hạn,
longtime	thời gian dài,
look	nhìn,
loop	vòng lặp,
lose	thua,
loss	mất mát,
lot	nhiều,
lots	rất nhiều,
loud	to tiếng,
love	yêu,
lovely	đáng yêu,
low	thấp,
loyal	trung thành,
loyalty	lòng trung thành,
lunch	Bữa trưa,
lung	phổi,
machine	máy móc,
magazine	tạp chí,
magic	ma thuật,
magnetic	từ tính,
magnitude	độ lớn,
main	chủ yếu,
mainstream	dòng chính,
maintain	duy trì,
maintenance	bảo trì,
major	chính,
majority	đa số,
make	chế tạo,
makeup	trang điểm,
male	Nam giới,
mall	trung tâm mua sắm,
man	Đàn ông,
manage	quản lý,
management	sự quản lý,
manager	giám đốc,
managing	quản lý,
mandate	ủy nhiệm,
manipulate	vận dụng,
manner	cách thức,
mansion	biệt thự,
manual	sổ tay,
manufacturing	chế tạo,
many	nhiều,
map	bản đồ,
marble	đá hoa,
march	tháng Ba,
margin	lề,
marine	biển,
mark	dấu,
marker	đánh dấu,
market	thị trường,
marketplace	thương trường,
marriage	kết hôn,
married	cưới nhau,
marry	kết hôn,
master	bậc thầy,
match	trận đấu,
mate	người bạn đời,
material	vật chất,
math	môn Toán,
mathematics	toán học,
matter	vấn đề,
maximum	tối đa,
may	Tháng Năm,
maybe	có lẽ,
me	tôi,
meal	bữa ăn,
mean	nghĩa là,
meaning	Ý nghĩa,
meaningful	có ý nghĩa,
means	nghĩa là,
meantime	thời gian chờ đợi,
meanwhile	trong khi đó,
measure	đo,
measurement	phép đo,
meat	thịt,
mechanic	thợ cơ khí,
mechanical	cơ khí,
medal	huy chương,
media	phương tiện truyền thông,
medical	Y khoa,
medication	thuốc men,
medicine	dược phẩm,
medium	Trung bình,
meet	gặp,
meeting	gặp gỡ,
melt	tan chảy,
member	hội viên,
membership	thành viên,
memory	ký ức,
mental	tâm thần,
mentally	tinh thần,
mention	đề cập đến,
mentor	người cố vấn,
menu	thực đơn,
merchant	thương gia,
merit	n,
mess	lộn xộn,
message	thông điệp,
metal	kim loại,
metaphor	phép ẩn dụ,
meter	mét,
method	phương pháp,
metropolitan	đô thị,
middle	ở giữa,
middleclass	tầng lớp trung lưu,
midnight	nữa đêm,
midst	giữa,
might	có thể,
migration	di cư,
mild	nhẹ nhàng,
military	quân đội,
mill	cối xay,
million	triệu,
mind	lí trí,
mineral	khoáng sản,
minimal	tối thiểu,
minimize	giảm thiểu,
minimum	tối thiểu,
minister	bộ trưởng,
ministry	Bộ,
minority	thiểu số,
minute	phút,
miracle	phép màu,
mirror	gương,
miss	bỏ lỡ,
missing	mất tích,
mission	sứ mệnh,
missionary	nhà truyền giáo,
mistake	sai lầm,
mix	pha trộn,
mixed	pha trộn,
mobile	di động,
model	mô hình,
moderate	vừa phải,
modern	hiện đại,
modest	khiêm tốn,
modify	sửa đổi,
molecule	phân tử,
mom	mẹ,
moment	chốc lát,
momentum	Đà,
money	tiền bạc,
monitor	giám sát,
monkey	con khỉ,
monster	quái vật,
month	tháng,
monthly	hàng tháng,
monument	tượng đài,
moral	đạo đức,
more	hơn,
morning	buổi sáng,
mortality	tử vong,
mortgage	thế chấp,
most	phần lớn,
mostly	chủ yếu,
mother	mẹ,
motion	chuyển động,
motivate	động viên,
motivation	động lực,
motive	động cơ,
motor	động cơ,
mount	gắn kết,
mountain	núi,
mouse	chuột,
mouth	miệng,
move	di chuyển,
movement	phong trào,
movie	bộ phim,
Mr	Ông,
Mrs	Bà,
Ms	Cô,
much	nhiều,
mud	bùn,
multiple	nhiều,
municipal	thành phố,
murder	giết người,
muscle	cơ bắp,
museum	viện bảo tàng,
mushroom	nấm,
music	Âm nhạc,
Muslim	Hồi giáo,
must	phải,
mutter	lẩm bẩm,
my	tôi,
myself	riêng tôi,
mysterious	huyền bí,
myth	huyền thoại,
nail	móng tay,
naked	trần truồng,
name	Tên,
narrative	tường thuật,
nasty	bẩn thỉu,
nation	quốc gia,
national	Quốc gia,
nationwide	toàn quốc,
native	tự nhiên,
natural	tự nhiên,
nature	thiên nhiên,
naval	hải quân,
near	ở gần,
nearby	gần đó,
nearly	Gần,
neat	khéo léo,
necessarily	nhất thiết,
necessary	cần thiết,
necessity	sự cần thiết,
neck	cái cổ,
need	nhu cầu,
needle	cây kim,
negative	tiêu cực,
neighbor	hàng xóm,
neighborhood	khu vực lân cận,
neighboring	lân cận,
neither	cũng không,
nerve	dây thần kinh,
nest	tổ,
net	mạng lưới,
network	mạng,
neutral	Trung tính,
never	không bao giờ,
new	Mới,
news	Tin tức,
newspaper	báo chí,
next	kế tiếp,
nice	tốt đẹp,
night	đêm,
nightmare	ác mộng,
nine	chín,
no	Không,
nobody	không ai,
nod	gật đầu,
nomination	đề cử,
nominee	ứng cử viên,
none	không ai,
nonetheless	dù sao,
nonprofit	phi lợi nhuận,
noon	trưa,
nor	cũng không,
norm	định mức,
normal	bình thường,
north	Bắc,
northeast	đông bắc,
northern	Phương bắc,
northwest	Tây Bắc,
nose	mũi,
not	không phải,
note	chú thích,
notebook	sổ tay,
nothing	không có gì,
notice	để ý,
notion	khái niệm,
novel	cuốn tiểu thuyết,
now	hiện nay,
nuclear	Nguyên tử,
number	con số,
nurse	y tá,
nut	hạt,
nutrient	chất dinh dưỡng,
oak	cây sồi,
object	vật,
objection	sự phản đối,
obligation	nghĩa vụ,
observe	quan sát,
obstacle	trở ngại,
obtain	đạt được,
obvious	hiển nhiên,
obviously	chắc chắn,
occasional	thỉnh thoảng,
occupation	nghề nghiệp,
occur	xảy ra,
ocean	đại dương,
oclock	giờ,
odds	tỷ lệ,
of	của,
off	tắt,
offender	tội phạm,
offensive	phản cảm,
offer	phục vụ,
offering	chào bán,
office	văn phòng,
officer	nhân viên văn phòng,
official	chính thức,
officially	chính thức,
often	thường xuyên,
oh	Oh,
oil	dầu,
OK	được,
okay	đuợc,
old	cũ,
oldfashioned	Cổ hủ,
Olympics	Thế vận hội,
on	trên,
once	Một lần,
one	một,
onethird	một phần ba,
online	Trực tuyến,
only	chỉ có,
onto	trên,
open	mở,
opening	khai mạc,
openly	cởi mở,
opera	opera,
operate	vận hành,
operating	điều hành,
operation	hoạt động,
operator	nhà điều hành,
opinion	quan điểm,
opportunity	cơ hội,
oppose	phản đối,
opposed	phản đối,
opposition	Sự đối lập,
opt	opt,
optimistic	lạc quan,
option	Tùy chọn,
or	hoặc là,
oral	miệng,
orange	trái cam,
orbit	quỹ đạo,
order	gọi món,
organ	đàn organ,
organic	hữu cơ,
organism	cơ thể,
organization	cơ quan,
organizational	tổ chức,
organize	tổ chức,
organized	tổ chức,
orientation	sự định hướng,
original	nguyên,
other	khác,
others	Khác,
otherwise	nếu không thì,
ought	nên,
our	của chúng ta,
ours	của chúng tôi,
ourselves	chúng ta,
out	ngoài,
outcome	kết quả,
outdoor	ngoài trời,
outer	bên ngoài,
outfit	trang phục,
outlet	đầu ra,
outline	đề cương,
output	đầu ra,
outside	ở ngoài,
outsider	người ngoài,
outstanding	nổi bật,
over	kết thúc,
overall	tổng thể,
overlook	bỏ qua,
overnight	qua đêm,
oversee	giám sát,
overwhelm	quá tải,
overwhelming	áp đảo,
owe	nợ,
own	sở hữu,
owner	chủ nhân,
ownership	sở hữu,
oxygen	ôxy,
package	gói,
pad	tập giấy,
page	trang,
pain	đau đớn,
painful	đau đớn,
paint	Sơn,
painter	họa sĩ,
painting	bức vẽ,
pair	đôi,
palace	cung điện,
Palestinian	Palestine,
palm	lòng bàn tay,
panel	bảng điều khiển,
panic	hoảng loạn,
paper	giấy,
parade	diễu hành,
parent	cha mẹ,
parental	cha mẹ,
parish	giáo xứ,
park	công viên,
part	phần,
partial	một phần,
partially	một phần,
participant	người tham gia,
participate	tham dự,
particle	hạt,
particular	cụ thể,
particularly	đặc biệt,
partner	cộng sự,
party	buổi tiệc,
pass	vượt qua,
passing	đi qua,
past	quá khứ,
pasta	mỳ ống,
pastor	mục sư,
pat	vỗ vỗ,
patch	vá,
patent	bằng sáng chế,
path	con đường,
patience	kiên nhẫn,
patient	bệnh nhân,
patrol	tuần tra,
patron	người bảo trợ,
pattern	mẫu,
pause	tạm ngừng,
pay	trả,
PC	PC,
peace	hòa bình,
peaceful	bình yên,
peanut	đậu phụng,
peasant	nông dân,
peel	lột vỏ,
peer	ngang nhau,
pen	cây bút,
pencil	bút chì,
pension	lương hưu,
people	những người,
pepper	tiêu,
per	mỗi,
perceived	lĩnh hội,
percentage	phần trăm,
perception	nhận thức,
perfect	hoàn hảo,
perform	biểu diễn,
performance	hiệu suất,
performer	người biểu diễn,
perhaps	có lẽ,
period	giai đoạn,
permission	sự cho phép,
permit	cho phép,
Persian	Người Ba Tư,
persist	tồn tại,
person	người,
personal	cá nhân,
perspective	quan điểm,
persuade	truy vấn,
pet	vật nuôi,
philosophical	triết học,
phone	điện thoại,
photo	hình chụp,
photograph	ảnh chụp,
photographer	nhiếp ảnh gia,
photography	nhiếp ảnh,
physical	vật lý,
physically	thể chất,
physics	vật lý,
piano	đàn piano,
pick	chọn,
pickup	nhặt lên,
picture	hình ảnh,
pie	chiếc bánh,
piece	cái,
pig	con lợn,
pile	Đóng cọc,
pill	Viên thuốc,
pillow	cái gối,
pilot	Phi công,
pin	ghim,
pine	cây thông,
pioneer	người tiên phong,
pipe	ống,
pistol	súng lục,
pit	hố,
pitch	sân cỏ,
pitcher	người bình,
pizza	pizza,
place	địa điểm,
placement	vị trí,
plain	trơn,
plaintiff	nguyên đơn,
plan	kế hoạch,
plane	máy bay,
planet	hành tinh,
planner	lập kế hoạch,
plant	thực vật,
plastic	nhựa,
plate	đĩa,
play	chơi,
player	người chơi,
playoff	playoff,
plea	lời bào chữa,
plead	biện hộ,
pleasant	dễ chịu,
please	xin vui lòng,
pleased	vừa lòng,
pleasure	vui lòng,
plunge	lao xuống,
PM	PM,
pocket	bỏ túi,
point	điểm,
poke	xô,
police	cảnh sát,
policeman	cảnh sát,
policy	chính sách,
political	chính trị,
politician	chính trị gia,
politics	chính trị,
poll	thăm dò ý kiến,
pond	ao,
pool	bơi,
poor	nghèo nàn,
pop	nhạc pop,
popular	phổ biến,
popularity	phổ biến,
population	dân số,
porch	hiên nhà,
pork	thịt heo,
portfolio	danh mục đầu tư,
portray	miêu tả,
position	Chức vụ,
positive	tích cực,
possession	chiếm hữu,
possibility	khả năng,
possible	khả thi,
possibly	có thể,
post	bài đăng,
poster	áp phích,
potential	tiềm năng,
pound	pao,
pour	đổ,
powder	bột,
power	quyền lực,
powerful	quyền lực,
practically	thực tế,
practice	thực hành,
practitioner	học viên,
praise	ca ngợi,
preach	rao giảng,
precious	quí,
precise	tóm lược,
predator	người ăn thịt,
predict	tiên đoán,
prediction	dự đoán,
prefer	thích hơn,
preference	sở thích,
pregnancy	mang thai,
preliminary	sơ bộ,
premise	tiền đề,
premium	phí bảo hiểm,
prepare	chuẩn bị,
prescription	đơn thuốc,
presence	sự hiện diện,
present	hiện tại,
presidency	chức tổng thống,
president	chủ tịch,
presidential	tổng thống,
press	nhấn,
pressure	sức ép,
presumably	có lẽ,
pretty	đẹp,
prevail	chiếm ưu thế,
prevent	ngăn chặn,
prevention	Phòng ngừa,
previous	Trước,
price	giá bán,
primary	sơ cấp,
prime	nguyên tố,
principal	hiệu trưởng,
principle	nguyên tắc,
print	in,
prior	trước,
prison	nhà tù,
privacy	riêng tư,
private	riêng tư,
privately	tư nhân,
privilege	đặc quyền,
prize	giải thưởng,
pro	pro,
probably	có lẽ,
problem	vấn đề,
procedure	thủ tục,
process	quá trình,
processing	Chế biến,
processor	bộ vi xử lý,
proclaim	tuyên bố,
produce	sản xuất,
producer	nhà sản xuất,
product	sản phẩm,
production	sản xuất,
productive	có năng suất,
productivity	năng suất,
professional	chuyên nghiệp,
professor	Giáo sư,
profit	lợi nhuận,
profound	thâm thúy,
program	chương trình,
programming	lập trình,
progress	tiến độ,
progressive	cấp tiến,
prohibit	cấm,
project	dự án,
projection	chiếu,
promise	lời hứa,
promising	hứa hẹn,
promote	Quảng bá,
promotion	quảng cáo,
prompt	nhắc nhở,
property	bất động sản,
proportion	tỉ lệ,
proposal	đề nghị,
propose	cầu hôn,
proposed	đề xuất,
prosecution	truy tố,
protect	bảo vệ,
protection	sự bảo vệ,
protective	bảo vệ,
protest	phản đối,
protocol	giao thức,
proud	tự hào,
prove	chứng minh,
provide	cung cấp,
provided	cung cấp,
provider	các nhà cung cấp,
province	tỉnh,
provoke	kích động,
psychologist	nhà tâm lý học,
public	công cộng,
publicity	công khai,
publicly	công khai,
publish	công bố,
publisher	nhà xuất bản,
pull	kéo,
pulse	xung,
pump	máy bơm,
punch	đấm,
punish	trừng phạt,
punishment	hình phạt,
purchase	mua,
purple	màu tím,
purpose	mục đích,
purse	cái ví,
pursue	theo đuổi,
pursuit	theo đuổi,
push	đẩy,
put	đặt,
puzzle	câu đố,
qualify	đủ tiêu chuẩn,
quality	phẩm chất,
quantity	số lượng,
quarter	phần tư,
quarterback	tiền vệ,
queen	nữ hoàng,
quest	nhiệm vụ,
question	câu hỏi,
questionnaire	bảng câu hỏi,
quick	nhanh chóng,
quickly	Mau,
quiet	Yên tĩnh,
quite	khá,
quote	Trích dẫn,
rabbit	Con thỏ,
race	cuộc đua,
racism	chủ nghĩa phân biệt chủng tộc,
rack	giá đỡ,
radar	radar,
radiation	sự bức xạ,
radio	radio,
rage	giận dữ,
rail	đường sắt,
railroad	đường sắt,
rain	mưa,
raise	nâng cao,
rally	biểu tình,
ranch	trang trại,
random	ngẫu nhiên,
range	phạm vi,
rank	cấp,
rape	hãm hiếp,
rapid	nhanh,
rare	hiếm,
rat	con chuột,
rate	tỷ lệ,
rather	hơn,
rating	Xêp hạng,
ratio	tỉ lệ,
rational	hợp lý,
re	lại,
reach	chạm tới,
reaction	phản ứng,
read	đọc,
reader	người đọc,
readily	dễ dàng,
reading	đọc hiểu,
ready	sẳn sàng,
real	thực,
realistic	thực tế,
reality	thực tế,
realize	nhận ra,
really	có thật không,
realm	cảnh giới,
rear	phía sau,
reason	lý do,
rebel	nổi loạn,
rebuild	xây dựng lại,
recall	hồi tưởng,
receive	nhận được,
receiver	người nhận,
recent	gần đây,
recently	gần đây,
reception	tiếp nhận,
recession	suy thoái kinh tế,
recipient	người nhận,
recognize	nhìn nhận,
recommend	giới thiệu,
record	ghi lại,
recording	ghi âm,
recruit	tuyển dụng,
red	đỏ,
reduce	giảm,
refer	tham khảo,
reference	tài liệu tham khảo,
reflect	phản chiếu,
reform	cải cách,
refrigerator	tủ lạnh,
refuge	nơi ẩn náu,
refuse	từ chối,
regain	giành lại,
regard	quan tâm,
regime	chế độ,
region	khu vực,
regional	khu vực,
register	ghi danh,
regret	hối tiếc,
regular	đều đặn,
regulate	quy định,
regulation	Quy định,
regulator	người điều tiết,
regulatory	quy định,
rehabilitation	phục hồi chức năng,
reinforce	củng cố,
relate	liên hệ,
related	liên quan,
relation	quan hệ,
relationship	mối quan hệ,
relative	quan hệ,
relatively	tương đối,
release	giải phóng,
reliability	độ tin cậy,
reliable	đáng tin cậy,
relief	cứu trợ,
relieve	giải tỏa,
religion	tôn giáo,
religious	Tôn giáo,
reluctant	lưỡng lự,
rely	dựa,
remain	vẫn còn,
remark	nhận xét,
remember	nhớ lại,
remind	nhắc lại,
reminder	nhắc nhở,
removal	gỡ bỏ,
remove	tẩy,
render	render,
rent	thuê,
rental	thuê,
repair	sửa,
repeat	nói lại,
repeatedly	nhiều lần,
replace	thay thế,
replacement	thay thế,
report	bài báo cáo,
reportedly	báo cáo,
reporter	phóng viên,
reporting	Báo cáo,
represent	đại diện,
representative	Tiêu biểu,
republic	nước cộng hòa,
republican	nhà nước cộng hòa,
request	yêu cầu,
require	yêu cầu,
required	cần thiết,
requirement	yêu cầu,
rescue	cứu hộ,
research	nghiên cứu,
researcher	nghiên cứu viên,
resemble	giống,
reservation	đặt phòng,
reserve	dự trữ,
residence	nơi cư trú,
resident	cư dân,
residential	nhà ở,
resign	từ chức,
resolution	độ phân giải,
resource	tài nguyên,
respect	sự tôn trọng,
respectively	tương ứng,
respond	trả lời,
response	phản ứng,
responsibility	trách nhiệm,
responsible	chịu trách nhiệm,
rest	nghỉ ngơi,
restaurant	nhà hàng,
restrict	giới hạn,
restriction	sự hạn chế,
result	kết quả,
resume	tiếp tục,
retail	bán lẻ,
retailer	nhà bán lẻ,
retired	nghỉ hưu,
retreat	rút lui,
return	trở về,
reveal	tiết lộ,
revelation	sự mặc khải,
revenue	thu nhập,
reverse	đảo ngược,
review	ôn tập,
revolutionary	cách mạng,
reward	phần thưởng,
rhetoric	Hùng biện,
rhythm	nhịp,
rib	xương sườn,
ribbon	ribbon,
rich	giàu có,
rid	thoát khỏi,
ride	dap xe,
rider	người lái,
ridge	cây rơm,
ridiculous	nực cười,
rifle	súng trường,
right	đúng,
rim	rim,
ring	nhẫn,
riot	bạo loạn,
rip	Yên nghỉ,
rise	tăng lên,
risk	rủi ro,
risky	rủi ro,
ritual	lễ nghi,
rival	đối thủ,
river	con sông,
road	đường,
robot	robot,
rock	đá,
rocket	tên lửa,
rod	gậy,
role	vai trò,
roll	cuộn,
rolling	lăn,
Roman	Roman,
romance	lãng mạn,
romantic	lãng mạn,
room	phòng,
root	nguồn gốc,
rope	dây thừng,
rose	bông hồng,
round	tròn,
route	lộ trình,
routinely	thường,
row	hàng,
royal	hoàng tộc,
rubber	cao su,
ruin	phá hoại,
rule	qui định,
