ác mộng	nightmare,
liên tiếp	consecutive,
liên tục	steadily,
Liên Xô	Soviet,
liều	dose,
lính	soldier,
linh hoạt	flexible,
lĩnh hội	perceived,
Linh hồn	soul,
Linh thiêng	sacred,
lí trí	mind,
lọ	jar,
loại	kind,
loại bỏ	eliminate,
loại trừ	exclude,
loạt	series,
lọc	filter,
logic	logic,
lôi	haul,
lời bào chữa	plea,
lối đi	aisle,
lời hứa	promise,
lợi ích	sake,
lời khuyên	counsel,
lời mời	invitation,
lợi nhuận	profit,
lời nói	verbal,
lối sống	lifestyle,
lợi thế	advantage,
lối thoát	exit,
lời thú tội	confession,
lối vào	doorway,
lo lắng	anxious,
lớn	large,
lòng bàn tay	palm,
lòng can đảm	courage,
lòng khoan dung	tolerance,
lông mày	eyebrow,
lông thú	fur,
Lòng tin	trust,
lòng tin chắc	conviction,
lòng trung thành	loyalty,
lòng tự trọng	selfesteem,
lông vũ	feather,
lớn lên	grow,
lộn xộn	mess,
lớp học	class,
lộ trình	route,
lột vỏ	peel,
lũ	flood,
lụa	silk,
lựa chọn	select,
lừa đảo	cheat,
lúa mì	wheat,
luật sư	attorney,
lục địa	continent,
lực lượng	force,
lực sĩ	athlete,
lung lay	swing,
lưỡi	blade,
lương hưu	pension,
lưỡng lự	reluctant,
lương tâm	conscience,
luôn luôn	always,
lượt xem	view,
lưu lượng	flow,
ly	glass,
lý do	reason,
ly hôn	divorce,
lý lịch	background,
lý thuyết	theoretical,
lý tưởng	ideal,
ma	ghost,
mặc	wear,
mặc dù	despite,
mạch	circuit,
màn	screen,
mảng	array,
mang đến	bring,
mạng lưới	net,
mang thai	pregnancy,
mảnh	chunk,
manh mối	clue,
mảnh vụn	debris,
mãn tính	chronic,
mập	fat,
mắt	eye,
mắt cá	ankle,
ma thuật	magic,
mất mát	loss,
mát mẻ	cool,
mất tích	missing,
mặt trời	sun,
màu	color,
màu tím	purple,
màu vàng	yellow,
mẫu vật	sample,
màu xám	gray,
màu xanh da trời	blue,
màu xanh lá	green,
Máy ảnh	camera,
Máy bay	airplane,
máy bay phản lực	jet,
máy bay trực thăng	helicopter,
máy bơm	pump,
máy khoan	drill,
may mắn	fortunately,
máy móc	machine,
máy vi tính	computer,
mẹ	mom,
Mềm dẻo	flexibility,
mềm mại	soft,
mét	meter,
mệt mỏi	fatigue,
mỉa mai	irony,
miền	domain,
miễn dịch	immune,
miếng	fragment,
miếng bò hầm	steak,
miền Nam	south,
miễn phí	free,
miền Tây	western,
miêu tả	portray,
mở	open,
mốc	landmark,
mô hình	model,
mồ hôi	sweat,
môi	lip,
mối đe dọa	threat,
mọi điều	everything,
mời gọi	invite,
mỗi ngày	everyday,
mọi người	everybody,
mới nổi	emerging,
mối quan hệ	relationship,
mối quan ngại	concern,
môi trường	environment,
môi trường sống	habitat,
món ăn	dish,
mông	butt,
mong manh	fragile,
móng tay	nail,
mờ nhạt	faint,
môn học	subject,
món nợ	debt,
môn thể thao	sport,
môn Toán	math,
món tráng miệng	dessert,
mở ra	unfold,
mở rộng	extended,
một	one,
Một lần	once,
một lát sau	later,
một mình	alone,
một ngày nào đó	someday,
một nửa	half,
một phần	partial,
một phần ba	onethird,
một số	several,
mơ tưởng	dream,
một vài nơi	somewhere,
mưa	rain,
mùa đông	winter,
mùa gặt	harvest,
mùa hè	summer,
mua lại	acquisition,
mùa xuân	spring,
mũ bảo hiểm	helmet,
mục	item,
mục đích	aim,
mục lục	catalog,
mục sư	pastor,
Mục tiêu	target,
mũi	nose,
mũi tên	arrow,
Muối	salt,
mười hai	twelve,
mười lăm	fifteen,
mười một	eleven,
muốn	wish,
mỳ ống	pasta,
n	merit,
nạc	lean,
nấm	mushroom,
nắm bắt	capture,
nắm chặt	grip,
Nam giới	male,
năm mươi	fifty,
nắm tay	fist,
nắng	sunny,
nâng cao	raise,
năng động	dynamic,
năng khiếu	gifted,
năng lượng	energy,
năng suất	yield,
nạn nhân	victim,
năn nỉ	insist,
Nắp	lid,
natri	sodium,
nâu	brown,
nấu ăn	cook,
nấu nướng	cooking,
ném	throw,
ném bom	bombing,
nến	candle,
nên kinh tê	economy,
nền tảng	basis,
nền văn hóa	culture,
nền văn minh	civilization,
nếu	if,
nếu không thì	otherwise,
ngã	fall,
ngạc nhiên	surprised,
ngâm	soak,
ngắn	short,
ngăn cấm	forbid,
ngăn chặn	prevent,
ngang nhau	peer,
ngắn gọn	briefly,
ngành	sector,
ngân hàng	banking,
ngành công nghiệp	industry,
ngăn kéo	drawer,
ngân sách	budget,
ngẫu nhiên	random,
ngày	date,
ngày càng	increasingly,
ngày cuối tuần	weekend,
ngày kỷ niệm	anniversary,
ngay lập tức	instantly,
ngày lễ	holiday,
Ngày mai	tomorrow,
nghe	listen,
nghề nghiệp	occupation,
nghèo nàn	poor,
nghệ thuật	artistic,
nghĩ	thought,
nghĩa là	mean,
Nghĩa trang	cemetery,
nghĩa vụ	obligation,
nghiêm khắc	strictly,
nghiêm trọng	severely,
nghiêm túc	seriously,
nghiên cứu	research,
nghiên cứu viên	researcher,
nghiền nát	crush,
nghỉ hưu	retired,
nghìn	thousand,
nghi ngờ	suspicious,
nghỉ ngơi	rest,
ngoài	out,
ngoại giao	diplomatic,
ngoại ô	suburb,
ngoại quốc	foreign,
ngoài ra	besides,
ngoài trời	outdoor,
ngoại trừ	except,
ngói	tile,
ngôi đền	temple,
ngôi sao	star,
ngón chân	toe,
ngớ ngẩn	dumb,
ngọn lửa	flame,
ngôn ngữ	language,
ngón tay	finger,
ngón tay cái	thumb,
ngọt	sweet,
ngủ	asleep,
ngực	chest,
ngũ cốc	grain,
ngư dân	fisherman,
ngưng	cease,
người	person,
người Ấn Độ	Indian,
người Anh	British,
người ăn thịt	predator,
người bán	seller,
người bạn đời	mate,
người bảo trợ	patron,
Người Ba Tư	Persian,
người biên tập	editor,
người biểu diễn	performer,
người bình	pitcher,
người chạy	runner,
người chiến thắng	winner,
người chơi	player,
người chồng	husband,
người cố vấn	mentor,
Người đàn bà góa	widow,
người điều tiết	regulator,
người đọc	reader,
người đóng góp	contributor,
Người Do thái	Jewish,
người dùng	user,
người giám sát	supervisor,
Người Hà Lan	Dutch,
người hầu	servant,
Người Hispanic	Hispanic,
người huấn luyện	trainer,
người Hy Lạp	Greek,
người lái	rider,
người lái xe	driver,
người lớn	adult,
người môi giới	broker,
Người Mỹ	American,
Người Mỹ gốc Phi	AfricanAmerican,
người nào	someone,
Người Nga	Russian,
người nghe	listener,
người ngoài	outsider,
người ngoài hành tinh	alien,
người nhận	recipient,
người nộp thuế	taxpayer,
người nước ngoài	foreigner,
người Pháp	French,
người sống sót	survivor,
người tham gia	participant,
người thu gom	collector,
người tiên phong	pioneer,
người vợ	wife,
người xây dựng	builder,
nguồn	source,
ngưỡng	threshold,
ngưỡng mộ	admire,
nguồn gốc	root,
ngu xuẩn	fool,
nguyên	original,
nguyên đơn	plaintiff,
nguyên nhân	cause,
nguyên tắc	principle,
nguyên tố	prime,
Nguyên tử	nuclear,
nguyên vẹn	intact,
nguy hiểm	hazard,
nhà	home,
nhà bán lẻ	retailer,
nhà bình luận viên	columnist,
nhắc lại	remind,
nhắc nhở	reminder,
nhạc pop	pop,
nhà cung cấp	vendor,
nhà đầu tư	investor,
nhà điều hành	operator,
nhà hàng	restaurant,
nhai	chew,
nhà khoa học	scientist,
nhà kinh tế học	economist,
nhà lập pháp	lawmaker,
nhàm chán	boring,
nhầm lẫn	confuse,
nhãn	tag,
nhận biết	identification,
nhân chứng	witness,
nhận con nuôi	adoption,
nhận định	identify,
nhận được	receive,
nhà ngoại giao	diplomat,
nhanh	rapid,
nhanh chóng	quick,
nhanh hơn	faster,
nhân khẩu học	demographic,
nhân loại	humanity,
nhấn mạnh	stress,
nhăn mặt	frown,
nhận ra	realize,
nhân tạo	artificial,
nhận thức	cognitive,
nhà nước cộng hòa	republican,
nhận vào	admission,
nhân vật	figure,
Nhân viên	employee,
nhân viên bán hàng	clerk,
nhân viên văn phòng	officer,
nhận xét	remark,
nhà ở	residential,
nhấp chuột	click,
nhà phân tích	analyst,
nhà phát triển	developer,
nhà phê bình	critic,
nhập khẩu	import,
nhà sản xuất	producer,
nhát	shy,
nhà tài trợ	donor,
nhà tâm lý học	psychologist,
nhà thầu	contractor,
nhà thiên văn học	astronomer,
nhà thờ	church,
Nhật ký	diary,
nhặt lên	pickup,
nhất quán	consistently,
nhà tranh	cottage,
nhà trị liệu	therapist,
nhà truyền giáo	missionary,
nhất thiết	necessarily,
nhà tù	prison,
nhà văn	writer,
nhà xuất bản	publisher,
nhảy	jump,
nhạy cảm	sensitivity,
nháy mắt	glance,
nhảy vọt	leap,
nhẹ	slight,
nhẹ nhàng	softly,
nhiệm vụ	quest,
nhiên liệu	fuel,
nhiếp ảnh	photography,
nhiếp ảnh gia	photographer,
nhiệt	heat,
nhiệt độ	temperature,
nhiệt đới	tropical,
nhiều	multiple,
nhiều lần	repeatedly,
nhìn	look,
nhìn chằm chằm	gaze,
nhìn nhận	recognize,
nhìn thoáng qua	glimpse,
nhịp	rhythm,
nhổ	spit,
nhỏ bé	tiny,
nhớ lại	remember,
nhôm	aluminum,
như	like,
nhựa	plastic,
nhu cầu	demand,
nhũ hoa	breast,
như là	such,
nhúng	dip,
những người	people,
như nhau	alike,
nhún vai	shrug,
nhượng quyền thương mại	franchise,
niêm phong	seal,
niềm tin	belief,
nổ	burst,
nơi	spot,
nơi ẩn náu	refuge,
nổi bật	striking,
nói chung là	generally,
nói chuyện	talk,
nơi cư trú	residence,
nổi danh	famous,
nơi đến	destination,
Nội địa	interior,
nói dối	lie,
Nội dung	content,
nói lại	repeat,
nơi làm việc	workplace,
nổi loạn	rebel,
nỗi sợ	fear,
nổi tiếng	wellknown,
nông	shallow,
nóng bức	hot,
nông dân	peasant,
nông nghiệp	agriculture,
nông phu	farmer,
nông trại	farm,
nổ tung	explode,
nửa chừng	halfway,
nữa đêm	midnight,
nữa không	anymore,
nực cười	ridiculous,
nụ cười	grin,
nữ diễn viên	actress,
nữ hoàng	queen,
núi	mountain,
Nước	water,
nước cộng hòa	republic,
Nước đá	ice,
nước mắt	tear,
nuôi	feed,
nuôi dưỡng	foster,
nuốt	swallow,
nữ quyền sĩ	feminist,
óc	brain,
ở đâu	wherever,
ở đó	there,
ở gần	near,
ở giữa	middle,
Oh	oh,
ở lại	stay,
ôm	hug,
ổn định	settle,
ống	pipe,
ông bà	grandparent,
ống kính	lens,
ở ngoài	outside,
ôn tập	review,
ở nước ngoài	abroad,
opera	opera,
opt	opt,
ôtô	automobile,
ở trên	beneath,
ôxy	oxygen,
Palestine	Palestinian,
pao	pound,
PC	PC,
phá hoại	ruin,
phải	must,
pha lê	crystal,
phẩm chất	quality,
phẩm giá	dignity,
phạm tội	criminal,
phạm vi	scope,
phần	part,
phân biệt	distinguish,
phản cảm	offensive,
phân chia	division,
phản chiếu	reflect,
phần cứng	hardware,
phán đoán	judgment,
phản đối	opposed,
phanh	brake,
Phản hồi	feedback,
phần kết luận	conclusion,
phân loại	classify,
phần lớn	largely,
phần mềm	software,
phần mộ	grave,
phần nào	somewhat,
phán quyết	ruling,
phân số	fraction,
phần thưởng	reward,
phân tích	analysis,
phần trăm	percentage,
phân tử	molecule,
phản ứng	response,
phao	float,
pháp luật	law,
phá sản	bankruptcy,
phát biểu	speech,
phát đạt	thrive,
Phát hiện	finding,
phát minh	invent,
pha trộn	mixed,
phát sóng	broadcast,
phát triển	developmental,
phẫu thuật	surgery,
phá vỡ	break,
phép ẩn dụ	metaphor,
phép đo	measurement,
phép màu	miracle,
phép tính	calculation,
phía dưới	below,
phía Nam	southern,
phía sau	rear,
phía trên	upper,
phía trong	inside,
phía trước	ahead,
phí bảo hiểm	premium,
Phi công	pilot,
phiền	disturbing,
phiên bản	edition,
phiên họp	session,
phiếu	ballot,
phi hành đoàn	crew,
phi lợi nhuận	nonprofit,
phim ảnh	film,
phim hài	comedy,
phim tài liệu	documentary,
phổ biến	popularity,
phổ biến rộng rãi	widespread,
phổi	lung,
phối hợp	combine,
phóng	launch,
phòng bếp	kitchen,
phong bì	envelope,
Phong cách	style,
phong cảnh	landscape,
phỏng đoán	guess,
phòng học	classroom,
phòng làm việc	bureau,
phòng ngủ	bedroom,
Phòng ngừa	prevention,
phong nha	decent,
phòng thể dục	gym,
phòng thí nghiệm	laboratory,
phòng thủ	defend,
phong trào	movement,
phỏng vấn	interview,
phòng vệ sinh	toilet,
phóng viên	reporter,
phòng xử án	courtroom,
phục hồi chức năng	rehabilitation,
phúc lợi	welfare,
phức tạp	complexity,
phục vụ	serving,
Phù hợp	fit,
phủ nhận	deny,
phước lành	blessing,
Phương bắc	northern,
phương Đông	eastern,
phương hướng	direction,
phương pháp	method,
phương tiện	vehicle,
phương tiện truyền thông	media,
phương trình	equation,
phủ sóng	coverage,
phút	minute,
phụ thuộc	dependent,
phụ tùng	spare,
pizza	pizza,
playoff	playoff,
PM	PM,
pro	pro,
quá	exceed,
quả bóng bay	balloon,
quá cảnh	transit,
quả cầu	sphere,
quá đáng	excessive,
qua đêm	overnight,
quả địa cầu	globe,
quái thú	beast,
quái vật	monster,
quá khứ	past,
qua một bên	aside,
quận	county,
quần áo	clothes,
quán ba	bar,
quan điểm	perspective,
quân đội	military,
Quảng bá	promote,
quảng cáo	promotion,
quang phổ	spectrum,
Quảng trường	square,
quan hệ	relative,
Quần jean	jeans,
quản lý	managing,
quan niệm	conception,
quan sát	observe,
quần short	shorts,
quan tâm	regard,
quản trị	administration,
quan trọng	importantly,
quần vợt	tennis,
quạt	fan,
quá tải	overwhelm,
quà tặng	gift,
quá trình	process,
quấy rối	harassment,
quầy tính tiền	counter,
quê hương	homeland,
quen	familiar,
quét	scan,
quí	precious,
qui định	rule,
quốc gia	nation,
quốc tế	international,
quỹ	fund,
quý bà	lady,
quỹ đạo	orbit,
quy định	regulatory,
quyền công dân	citizenship,
Quyên góp	donation,
quyền hạn	jurisdiction,
quyền lợi	entitle,
quyền lực	powerful,
quyền nuôi con	custody,
quyến rũ	charm,
quyết định	decide,
quỳ xuống	kneel,
ra	forth,
rắc	sprinkle,
rắc rối	trouble,
rác thải	garbage,
radar	radar,
radio	radio,
ra mắt	debut,
răng	tooth,
rao giảng	preach,
ráo nước	drain,
rạp hát	theater,
rất	very,
rất nhiều	greatly,
râu	beard,
render	render,
ribbon	ribbon,
riêng	specific,
riêng tôi	myself,
riêng tư	privacy,
rim	rim,
robot	robot,
roi da	whip,
rời khỏi	leave,
rơi vãi	drop,
Roman	Roman,
Rơm rạ	straw,
rộng	wide,
rộng lớn	vast,
rõ ràng	explicit,
rực rỡ	brilliant,
rủi ro	risky,
rừng	forest,
rừng nhiệt đới	jungle,
ruột	gut,
rượu nho	wine,
rút lui	retreat,
sắc đẹp	beauty,
sạc điện	charge,
sách	book,
sách giáo khoa	textbook,
sai lầm	mistake,
sai rồi	wrong,
sân	yard,
săn bắn	hunt,
sân bay	airport,
sân cỏ	pitch,
sandwich	sandwich,
sáng	bright,
sáng tạo	innovative,
sảnh đợi	lobby,
sân khấu	stage,
sẵn lòng	willing,
sàn nhà	floor,
sản phẩm	product,
sẳn sàng	ready,
sân sau	backyard,
sân vận động	stadium,
sản xuất	production,
sao chép	copy,
sập	slam,
sắp xếp	sort,
sâu	deep,
sau cùng	final,
sau đó	afterward,
say	drunk,
sẽ	will,
sét đánh	lightning,
sexy	sexy,
siêu thị	supermarket,
Sinh	birth,
sinh học	biology,
sinh ra	born,
sinh thái	ecological,
sinh viên	student,
sinh viên năm nhất	freshman,
sneak	sneak,
sọ	skull,
số ba	three,
sơ bộ	preliminary,
sốc	shock,
sơ cấp	primary,
số điện thoại	toll,
sợ hãi	scare,
sở hữu	ownership,
sôi lên	boil,
số lượng	quantity,
số lượng lớn	bulk,
Sớm	soon,
Sơn	paint,
số năm	five,
sống	living,
sống sót	alive,
so sánh	comparable,
sốt	fever,
sổ tay	manual,
sở thích	preference,
streak	streak,
studio	studio,
sửa	repair,
sửa chữa	fix,
sửa đổi	modify,
sự bảo vệ	protection,
sự bức xạ	radiation,
sự bùng nổ	boom,
sự căng thẳng	strain,
sự cần thiết	necessity,
sức chứa	capacity,
sức ép	pressure,
sự chậm trễ	delay,
sự cho phép	permission,
sức hút	attraction,
Sức khỏe	health,
sức mạnh	strength,
Sự công bằng	justice,
sự đánh giá	appreciation,
sự đến	arrival,
sự định hướng	orientation,
Sự đối lập	opposition,
sự đóng góp	contribution,
sự đồng thuận	consensus,
sử dụng	utilize,
sự giống nhau	similarity,
sự hạn chế	restriction,
sự hiện diện	presence,
sự hiểu biết	grasp,
sự hình thành	formation,
sự hy sinh	sacrifice,
suite	suite,
Sự khác biệt	difference,
sự mặc khải	revelation,
sứ mệnh	mission,
sự mong đợi	expectation,
sự mở rộng	extension,
sừng	horn,
sự ngạc nhiên	surprise,
sưng lên	swell,
súng lục	pistol,
súng trường	rifle,
sự nhầm lẫn	confusion,
sương mù	fog,
suốt trong	during,
Súp	soup,
sự phản đối	objection,
sự phấn khích	excitement,
sự phá thai	abortion,
sự phát minh	invention,
sự phát triển	growth,
sự phối hợp	combination,
sự quản lý	management,
sự quyết tâm	determination,
sự sẵn lòng	willingness,
sự sụp đổ	collapse,
sự tập thể dục	fitness,
sự tham dự	attendance,
sự thành công	success,
sự thật	truth,
sự thay đổi	shift,
sự thiên vị	bias,
sự thiếu	shortage,
Sự thông minh	intelligence,
sự tò mò	curiosity,
sự tôn trọng	respect,
sự trừng phạt	sanction,
sư tử	lion,
sự tuân thủ	compliance,
sự tự do	freedom,
sự tự tin	confidence,
sưu tầm	collect,
suy đoán	speculate,
suy giảm	diminish,
Suy nghĩ	thinking,
suy sụp	depressed,
suy thoái kinh tế	recession,
tá	dozen,
tà ác	evil,
tác giả	author,
tách	cup,
tách biệt	separation,
tách rời	separate,
tai	ear,
tài chính	fiscal,
tài khoản	account,
tài liệu	document,
tài liệu tham khảo	reference,
tai nạn	casualty,
tài nguyên	resource,
tại sao	why,
tấm	sheet,
tấm màn	curtain,
tạm ngừng	pause,
tầm nhìn	vision,
tầm quan trọng	importance,
tâm thần	mental,
tạm thời	temporary,
tàn bạo	brutal,
tan chảy	melt,
tấn công	attack,
tăng	boost,
tầng hầm	basement,
tăng lên	rise,
tầng lớp trung lưu	middleclass,
tầng trên	upstairs,
tàn phá	devastating,
tần số	frequency,
tàn tật	disabled,
tạo điều kiện	facilitate,
tạo nên	create,
tạo ra	generate,
tạp chí	magazine,
tập giấy	pad,
tạp hóa	grocery,
tập hợp	assemble,
tập quán	custom,
tập thể	collective,
tập thể dục	workout,
tập tin	file,
tát	slap,
tất cả các	all,
tất cả mọi người	everyone,
tàu	ship,
taxi	cab,
tẩy	remove,
tay áo	sleeve,
Tây Bắc	northwest,
tây nam	southwest,
tệ	badly,
tế bào	cell,
Tên	name,
tế nhị	subtle,
tên lửa	rocket,
tha	excuse,
Thái độ	attitude,
tha lỗi	forgive,
thảm	carpet,
thẩm định	assessment,
thăm dò	exploration,
thăm dò ý kiến	poll,
tham dự	participate,
tham gia	attend,
thám hiểm	expedition,
tham khảo	refer,
tham khảo ý kiến	consult,
thẩm mỹ	aesthetic,
tham nhũng	corruption,
thẩm phán	judge,
thẩm quyền	authority,
thâm thúy	profound,
thám tử	detective,
tham vọng	ambition,
than	coal,
thân cây	stem,
thang	ladder,
tháng Ba	march,
thắng lợi	win,
thang máy	elevator,
Tháng Năm	may,
thẳng thắn	frankly,
thành công	successfully,
thân hình	body,
thanh kiếm	sword,
thành lập	establish,
thanh lịch	elegant,
thanh niên	adolescent,
thần học	theological,
thành phần	composition,
thành phố	municipal,
thành thật	honestly,
thanh tra	inspector,
thành viên	membership,
thân mật	intimate,
than phiền	complain,
thần thánh	divine,
thận trọng	conservative,
thảo luận	discussion,
thảo mộc	herb,
thấp	low,
thập kỷ	decade,
thắp sáng	lighting,
thật	indeed,
thất bại	failure,
thắt chặt	tighten,
tha thứ	tolerate,
thật ngạc nhiên	surprisingly,
thất nghiệp	unemployment,
thất vọng	frustrate,
thấy	deem,
thay đổi	changing,
thay mặt	behalf,
thay thế	replacement,
Thẻ	card,
thế chấp	mortgage,
thể chất	physically,
thể chế	institutional,
thế giới	world,
thế hệ	generation,
thế kỷ	century,
thể loại	genre,
thêm	added,
thêm vào	addition,
theo	according,
theo chiều dọc	vertical,
theo dõi	track,
theo đuổi	pursuit,
theo truyền thống	traditionally,
thế tục	secular,
Thế vận hội	Olympics,
thi	exam,
thích hơn	prefer,
thích hợp	suitable,
thí dụ	example,
Thiên hà	galaxy,
thiên nhiên	nature,
Thiên tài	genius,
Thiên thần	angel,
thiết bị	device,
thiết bị điện tử	electronics,
thiết kế	design,
thiếu niên	youngster,
thiểu số	minority,
thiếu sót	lack,
thị giác	sight,
thi hành	execute,
thính giả	audience,
thính giác	hearing,
thỉnh thoảng	sometime,
thịt	meat,
thịt bò	beef,
thịt heo	pork,
thị trấn	town,
thị trường	market,
thở	breathing,
thỏa hiệp	compromise,
Thoải mái	comfortable,
thỏa thuận	agreement,
thoát khỏi	escape,
thoát ra	exhaust,
thợ cơ khí	mechanic,
thở dài	sigh,
thổi	blow,
thời gian	timing,
thời gian chờ đợi	meantime,
thời gian dài	longtime,
thời gian ngắn	shortterm,
thời tiết	weather,
thời trang	fashion,
thông báo	announcement,
thông điệp	message,
thống đốc	governor,
thống kê	statistical,
thông minh	intelligent,
thống nhất	unite,
thông qua	adopt,
thông suốt	clearly,
thong thả	deliberately,
thông thường	commonly,
thông tin	information,
thợ săn	hunter,
thử	try,
thua	lose,
thừa kế	inherit,
thừa nhận	admit,
thuận lợi	favorable,
thứ ba	third,
thứ bảy	seventh,
thực	real,
thúc đẩy	impulse,
thực đơn	menu,
thực hành	practice,
thực hiện	undertake,
thực ra	actually,
thực sự	truly,
thực tế	realistic,
thực thể	entity,
thức tỉnh	awake,
thực vật	plant,
thủ đô	capital,
thu được	gain,
thuê	rental,
thuê mướn	hire,
thứ hai	secondary,
thu hồi	withdrawal,
thu hút	attract,
thùng	barrel,
thùng đựng hàng	container,
thử nghiệm	experimental,
thung lũng	valley,
thu nhập	revenue,
thuộc địa	colony,
thuộc kinh tế	economic,
thuốc lá	tobacco,
thuốc men	medication,
thuộc tính	attribute,
thuốc uống	drug,
thuộc về	belong,
thuộc về khoa học	scientific,
thường	routinely,
thương gia	merchant,
thương mại	trading,
Thượng nghị viện	Senate,
thưởng ngoạn	contemplate,
thưởng thức	enjoy,
thương trường	marketplace,
Thường xuyên	frequent,
thứ sáu	sixth,
thứ tám	eighth,
thử thách	challenge,
thụ thai	conceive,
thu thập	gathering,
thu thập thông tin	crawl,
thứ tư	fourth,
thủ tục	procedure,
thú vật	animal,
thuyền	boat,
thuyết phục	compelling,
thủy triều	tide,
tia lửa	spark,
tích cực	actively,
tích hợp	integrated,
tịch thu	seize,
tiềm năng	potential,
tiện	convenience,
tiền bạc	money,
tiền boa	tip,
tiền đề	premise,
tiến độ	progress,
tiên đoán	predict,
tiếng cười	laughter,
tiếng Đức	German,
tiếng hát	vocal,
tiếng Nhật	Japanese,
tiếng nói	voice,
tiền gửi	deposit,
tiền mặt	cash,
tiền tệ	currency,
tiền vay	loan,
tiền vệ	quarterback,
tiếp cận	approach,
tiếp nhận	reception,
tiếp theo	following,
tiếp tục	resume,
tiếp xúc	contact,
tiết kiệm	save,
tiết lộ	disclose,
tiết tấu	beat,
tiêu	pepper,
tiểu bang	state,
Tiêu biểu	representative,
Tiêu chuẩn	standard,
tiêu cực	negative,
tiêu đề	headline,
tiêu điểm	focus,
tiêu dùng	consumption,
tiểu sử	biography,
tiêu tan	scatter,
tỉ lệ	ratio,
tim	heart,
Tìm kiếm	search,
tìm thấy	find,
tin	believe,
tin đồn	rumor,
tín dụng	credit,
tỉnh	province,
tính cách	character,
tình cảm	emotionally,
tính chính xác	accuracy,
tình cờ gặp	stumble,
tình dục	sexuality,
tình hình	situation,
tình huống	circumstance,
tín hiệu	signal,
tính không chắc chắn	uncertainty,
tình nguyện	voluntary,
tinh tế	delicate,
tinh thần	mentally,
tính toán	calculate,
tình trạng khó xử	dilemma,
tinh vi	sophisticated,
Tin tức	news,
tỉ trọng	density,
tivi	television,
tổ	nest,
tòa án	court,
toàn bộ	total,
toàn cầu	global,
Tòa nhà	building,
toán học	mathematics,
toàn quốc	nationwide,
toàn thể	whole,
toàn thời gian	fulltime,
tỏa sáng	shine,
toa xe	wagon,
tóc	hair,
tố cáo	accusation,
tốc độ	speed,
tổ chức	organized,
tóc vàng	blond,
tổ hợp	assembly,
tội	sin,
tội ác	crime,
Tối cao	Supreme,
tối đa	maximum,
tội lỗi	guilt,
tối nay	tonight,
tội phạm	offender,
tối thiểu	minimum,
tóm lược	summary,
Tổng	gross,
tổng hợp	sum,
tôn giáo	religion,
tổng thể	overall,
tổng thống	presidential,
tốn kém	costly,
tồn tại	persist,
tốt	best,
tốt đẹp	nice,
tốt hơn	better,
tổ tiên	ancestor,
to tiếng	loud,
tốt nghiệp	graduation,
trả	pay,
trách nhiệm	responsibility,
trách nhiệm giải trình	accountability,
trách nhiệm pháp lý	liability,
trại	camp,
trái bóng	ball,
trái cam	orange,
trái cây	fruit,
trái chuối	banana,
trái đất	earth,
trailer	trailer,
trải qua	undergo,
trả lời	respond,
trán	forehead,
trận đánh	fighting,
trận đấu	match,
trang	page,
Trang bị	equip,
trang điểm	makeup,
trang phục	outfit,
trạng thái	status,
Trang thiết bị	equipment,
trang trại	ranch,
trang trí	decorate,
tránh	avoid,
tranh giành	scramble,
tranh luận	debate,
Tranh sơn dầu	canvas,
trần truồng	naked,
trao đổi	exchange,
trẻ	young,
trên	atop,
trên toàn thế giới	worldwide,
treo	hang,
trẻ sơ sinh	infant,
tri ân	grateful,
Trích dẫn	quote,
triển khai	deploy,
triển lãm	exhibit,
triệt để	thoroughly,
triết học	philosophical,
triệu	million,
trình diễn	demonstration,
trình độ	degree,
trình tự	sequence,
trí tuệ	intellectual,
triumph	triumph,
tro	ash,
trợ cấp	subsidy,
trò chơi	game,
trôi dạt	drift,
trở lại	back,
trợ lý	aide,
tròn	round,
trở nên	become,
trống	drum,
trở ngại	obstacle,
trong khi	while,
trong khi đó	meanwhile,
trong khoảng	about,
trong nước	domestic,
trong sáng	clear,
trong số	among,
trớ trêu thay	ironically,
trở về	return,
trưa	noon,
trực tiếp	directly,
Trực tuyến	online,
trừ khi	unless,
trứng	egg,
Trung bình	medium,
Trung bình cộng	average,
trừng phạt	punish,
Trung Quốc	Chinese,
Trung tâm	central,
trung tâm mua sắm	mall,
trung tâm thành phố	downtown,
trung thành	loyal,
Trung tính	neutral,
trước	prior,
trước đây	former,
trước kia	formerly,
trước mặt	front,
trường đại học	university,
trường học	school,
trường hợp	case,
trường hợp khẩn cấp	emergency,
trượt	slide,
trượt tuyết	ski,
trừu tượng	abstract,
truy cập	access,
truyền tải	transmission,
truyền thống	tradition,
truy tố	prosecution,
truy vấn	persuade,
từ	word,
tuần	week,
tuân theo	comply,
tuần tra	patrol,
từ chối	denial,
từ chức	resign,
tuck	tuck,
tức thời	instant,
tự do	freely,
tự động	automatic,
tự hào	proud,
tụ họp	gather,
túi	bag,
tủ lạnh	refrigerator,
tự ngã	ego,
tung lên	bounce,
tư nhân	privately,
tự nhiên	native,
tươi	fresh,
tuổi tác	age,
Tường	wall,
tượng đài	monument,
tương đối	relatively,
tương đương	equivalent,
Tương lai	future,
tương phản	contrast,
tương quan	correlation,
tương tác	interact,
tường thuật	narrative,
tượng trưng	symbolic,
tương tự	likewise,
tưởng tượng	imagine,
tương ứng	respectively,
tư pháp	judicial,
tủ quần áo	closet,
từ thiện	charity,
từ tính	magnetic,
tự trị	autonomy,
