counselor	cố vấn
wellknown	nổi tiếng
surrounding	xung quanh
ecological	sinh thái
outfit	trang phục
unprecedented	chưa từng có
columnist	nhà bình luận viên
workout	tập thể dục
preliminary	sơ bộ
patent	bằng sáng chế
shy	nhát
quote	Trích dẫn
trash	rác
disabled	tàn tật
gross	Tổng
damn	chỉ trích
hormone	hoocmon
texture	kết cấu
counter	quầy tính tiền
pencil	bút chì
frontier	biên giới
spray	Xịt nước
bet	cá cược
disclose	tiết lộ
custody	quyền nuôi con
banker	chủ ngân hàng
beast	quái thú
interfere	gây trở ngại
oak	cây sồi
case	trường hợp
eighth	thứ tám
notebook	sổ tay
outline	đề cương
attendance	sự tham dự
speculation	suy đoán
uncover	khám phá
behalf	thay mặt
innovative	sáng tạo
shark	cá mập
reward	phần thưởng
mill	cối xay
installation	cài đặt
stimulate	kích thích
tag	nhãn
vertical	theo chiều dọc
swimming	bơi lội
fleet	hạm đội
catalog	mục lục
outsider	người ngoài
sacrifice	sự hy sinh
desperately	tuyệt vọng
stance	lập trường
compel	bắt buộc
sensitivity	nhạy cảm
someday	một ngày nào đó
debut	ra mắt
proclaim	tuyên bố
hike	đi lang thang
required	cần thiết
confrontation	đối đầu
colorful	Đầy màu sắc
ideal	lý tưởng
constitution	hiến pháp
trainer	người huấn luyện
Thanksgiving	Lễ Tạ ơn
scent	hương thơm
stack	cây rơm
eyebrow	lông mày
sack	bao
cease	ngưng
inherit	thừa kế
tray	cái mâm
pioneer	người tiên phong
organizational	tổ chức
textbook	sách giáo khoa
uh	uh
nasty	bẩn thỉu
shrink	co lại
model	mô hình
emerging	mới nổi
dot	dấu chấm
wheat	lúa mì
fierce	khốc liệt
envision	hình dung
rational	hợp lý
kingdom	Vương quốc
aisle	lối đi
weaken	làm suy yếu
protocol	giao thức
exclusively	duy nhất
vocal	tiếng hát
marketplace	thương trường
openly	cởi mở
unfair	không công bằng
terrain	địa hình
deploy	triển khai
risky	rủi ro
pasta	mỳ ống
genre	thể loại
distract	làm mất tập trung
merit	n
planner	lập kế hoạch
depressed	suy sụp
chunk	mảnh
closest	gần nhất
discount	giảm giá
no	Không
ladder	thang
jungle	rừng nhiệt đới
migration	di cư
breathing	thở
invade	xâm chiếm
hurricane	bão
retailer	nhà bán lẻ
classify	phân loại
wound	vết thương
coup	cuộc đảo chính
aid	viện trợ
ambassador	đại sứ
density	tỉ trọng
supportive	hỗ trợ
curiosity	sự tò mò
skip	bỏ qua
aggression	Hiếu chiến
stimulus	kích thích kinh tế
journalism	báo chí
robot	robot
flood	lũ
dip	nhúng
likewise	tương tự
informal	không chính thức
Persian	Người Ba Tư
feather	lông vũ
sphere	quả cầu
tighten	thắt chặt
boast	khoe khoan
pat	vỗ vỗ
perceived	lĩnh hội
sole	Duy Nhất
publicity	công khai
major	chính
unfold	mở ra
joke	đùa
wellbeing	hạnh phúc
validity	hiệu lực
ecosystem	hệ sinh thái
strictly	nghiêm khắc
partial	một phần
collar	cổ áo
weed	cỏ dại
compliance	sự tuân thủ
streak	streak
supposedly	được cho là
added	thêm
builder	người xây dựng
glimpse	nhìn thoáng qua
premise	tiền đề
specialty	chuyên môn
deem	thấy
artifact	đồ tạo tác
sneak	sneak
monkey	con khỉ
mentor	người cố vấn
twothirds	hai phần ba
listener	người nghe
lightning	sét đánh
legally	hợp pháp
sleeve	tay áo
disappointment	thất vọng
disturb	xáo trộn
rib	xương sườn
excessive	quá đáng
hightech	công nghệ cao
debris	mảnh vụn
pile	Đóng cọc
rod	gậy
logical	hợp lý
liberal	tự do
ash	tro
socially	xã hội
parish	giáo xứ
slavery	chế độ nô lệ
blank	chỗ trống
commodity	hàng hóa
cure	chữa khỏi
mineral	khoáng sản
hunger	đói
dying	chết
developmental	phát triển
faster	nhanh hơn
spare	phụ tùng
halfway	nửa chừng
cure	chữa khỏi
equality	bình đẳng
cemetery	Nghĩa trang
harassment	quấy rối
deliberately	thong thả
fame	danh tiếng
regret	hối tiếc
striking	nổi bật
likelihood	khả năng
carrot	cà rốt
atop	trên
toll	số điện thoại
rim	rim
embarrassed	xấu hổ
fucking	fucking
cling	bám lấy
isolated	bị cô lập
blink	chớp mắt
suspicious	nghi ngờ
wheelchair	xe lăn
squad	đội hình
eligible	hội đủ điều kiện
processor	bộ vi xử lý
plunge	lao xuống
this	điều này
grin	nụ cười
color	màu
demographic	nhân khẩu học
rain	mưa
chill	làm lạnh
refuge	nơi ẩn náu
steer	chỉ đạo
legislator	nhà lập pháp
rally	biểu tình
programming	lập trình
cheer	vui lên
outlet	đầu ra
intact	nguyên vẹn
vendor	nhà cung cấp
thrive	phát đạt
peanut	đậu phụng
chew	nhai
elaborate	kỹ lưỡng
intellectual	trí tuệ
conception	quan niệm
auction	bán đấu giá
steak	miếng bò hầm
comply	tuân theo
triumph	triumph
shareholder	cổ đông
comparable	so sánh
conscience	lương tâm
calculation	phép tính
considerably	đáng kể
interval	khoảng thời gian
scratch	vết trầy
awake	thức tỉnh
jurisdiction	quyền hạn
inevitably	chắc chắn
feminist	nữ quyền sĩ
constraint	hạn chế
emotionally	tình cảm
expedition	thám hiểm
allegedly	bị cáo buộc
compromise	thỏa hiệp
similarity	sự giống nhau
butt	mông
lid	Nắp
dumb	ngớ ngẩn
bulk	số lượng lớn
sprinkle	rắc
mortality	tử vong
philosophical	triết học
conversion	chuyển đổi
patron	người bảo trợ
municipal	thành phố
any	bất kì
liver	Gan
harmony	hòa hợp
solely	chỉ
tolerance	lòng khoan dung
instant	tức thời
goat	con dê
arm	cánh tay
blessing	phước lành
banana	trái chuối
running	đang chạy
palace	cung điện
formerly	trước kia
peasant	nông dân
neat	khéo léo
grandparent	ông bà
lawmaker	nhà lập pháp
supermarket	siêu thị
cruise	du lịch
mobile	di động
plain	trơn
part	phần
calendar	lịch
widow	Người đàn bà góa
deposit	tiền gửi
beard	râu
brake	phanh
downtown	trung tâm thành phố
screening	kiểm tra
impulse	thúc đẩy
forbid	ngăn cấm
fur	lông thú
brutal	tàn bạo
predator	người ăn thịt
poke	xô
opt	opt
voluntary	tình nguyện
trouble	rắc rối
valid	có hiệu lực
forum	diễn đàn
dancing	khiêu vũ
happily	hạnh phúc
soar	bay lên
removal	gỡ bỏ
autonomy	tự trị
enact	ban hành
round	tròn
thread	chủ đề
light	ánh sáng
landmark	mốc
unhappy	không vui
offender	tội phạm
coming	đang đến
privately	tư nhân
fraction	phân số
distinctive	đặc biệt
tourism	du lịch
threshold	ngưỡng
calm	điềm tĩnh
routinely	thường
suite	suite
remark	nhận xét
regulator	người điều tiết
straw	Rơm rạ
theological	thần học
apart	xa nhau
exhaust	thoát ra
globe	quả địa cầu
fragile	mong manh
objection	sự phản đối
chemistry	hóa học
oldfashioned	Cổ hủ
crowded	Đông người
circle	vòng tròn
blast	vụ nổ
prevail	chiếm ưu thế
overnight	qua đêm
denial	từ chối
rental	thuê
fantastic	tuyệt diệu
fragment	miếng
level	cấp độ
screw	Đinh ốc
warmth	ấm áp
undergraduate	đại học
liquid	chất lỏng
headache	đau đầu
policeman	cảnh sát
yield	năng suất
projection	chiếu
battle	chiến đấu
suitable	thích hợp
mention	đề cập đến
graduation	tốt nghiệp
drill	máy khoan
cruel	hung ác
mansion	biệt thự
regard	quan tâm
grape	giống nho
authorize	cho phép
cottage	nhà tranh
driveway	đường lái xe
charm	quyến rũ
sexuality	tình dục
loyal	trung thành
clay	đất sét
pound	pao
balloon	quả bóng bay
invention	sự phát minh
ego	tự ngã
fare	giá vé
homework	bài tập về nhà
disc	đĩa
sofa	ghế sô pha
guarantee	Bảo hành
availability	khả dụng
radar	radar
frown	nhăn mặt
regain	giành lại
leave	rời khỏi
permit	cho phép
sweater	áo len
rehabilitation	phục hồi chức năng
rubber	cao su
retreat	rút lui
molecule	phân tử
freely	tự do
favorable	thuận lợi
steadily	liên tục
veteran	cựu chiến binh
integrated	tích hợp
ha	ha
youngster	thiếu niên
premium	phí bảo hiểm
accountability	trách nhiệm giải trình
overwhelm	quá tải
onethird	một phần ba
contemplate	thưởng ngoạn
update	cập nhật
spark	tia lửa
ironically	trớ trêu thay
fatigue	mệt mỏi
beyond	vượt ra ngoài
speculate	suy đoán
marker	đánh dấu
low	thấp
preach	rao giảng
bucket	cái xô
bomb	bom
blond	tóc vàng
confession	lời thú tội
provoke	kích động
marble	đá hoa
substantially	đáng kể
twist	xoắn
defender	hậu vệ
fish	cá
explicit	rõ ràng
transport	vận chuyển
disturbing	phiền
surveillance	giám sát
magnetic	từ tính
technician	kỹ thuật viên
mutter	lẩm bẩm
devastating	tàn phá
depart	khởi hành
arrow	mũi tên
trauma	chấn thương
neighboring	lân cận
soak	ngâm
ribbon	ribbon
meantime	thời gian chờ đợi
transmit	chuyển giao
screen	màn
consecutive	liên tiếp
republican	nhà nước cộng hòa
coordinate	danh từ
worldwide	trên toàn thế giới
within	bên trong
spy	gián điệp
slot	khe
riot	bạo loạn
nutrient	chất dinh dưỡng
citizenship	quyền công dân
severely	nghiêm trọng
sovereignty	chủ quyền
ridge	cây rơm
brave	can đảm
lighting	thắp sáng
specify	chỉ định
contributor	người đóng góp
frustrate	thất vọng
crowd	đám đông
articulate	khớp nối
importantly	quan trọng
transit	quá cảnh
dense	dày đặc
seminar	hội thảo
electronics	thiết bị điện tử
sunny	nắng
shorts	quần short
swell	sưng lên
accusation	tố cáo
soften	làm mềm
photograph	ảnh chụp
straighten	làm thẳng
terribly	khủng khiếp
cue	gợi ý
sudden	đột nhiên
bride	cô dâu
biography	tiểu sử
hazard	nguy hiểm
compelling	thuyết phục
seldom	ít khi
tile	ngói
economically	kinh tế
honestly	thành thật
troubled	gặp rắc rối
bow	cây cung
twentieth	hai mươi
balanced	cân bằng
foreigner	người nước ngoài
launch	phóng
convenience	tiện
delight	Hân hoan
weave	dệt
timber	gỗ
till	cho đến
accurately	chính xác
plea	lời bào chữa
bulb	bóng đèn
copy	sao chép
flying	bay
sustainable	bền vững
devil	ác quỷ
bolt	chớp
cargo	hàng hóa
spine	xương sống
seller	người bán
skilled	có kỹ năng
managing	quản lý
public	công cộng
marine	biển
dock	bến tàu
organized	tổ chức
fog	sương mù
diplomat	nhà ngoại giao
boring	nhàm chán
sometime	thỉnh thoảng
summary	tóm lược
missionary	nhà truyền giáo
epidemic	bệnh dịch
fatal	gây tử vong
trim	cắt tỉa
warehouse	Kho
accelerate	đẩy nhanh
butterfly	Con bướm
bronze	đồng
drown	chết chìm
inherent	vốn có
praise	ca ngợi
nationwide	toàn quốc
spit	nhổ
harvest	mùa gặt
kneel	quỳ xuống
vacuum	Khoảng chân không
selected	đã chọn
dictate	điều khiển
stereotype	khuôn mẫu
sensor	cảm biến
laundry	giặt ủi
manual	sổ tay
pistol	súng lục
naval	hải quân
plaintiff	nguyên đơn
kid	đứa trẻ
middleclass	tầng lớp trung lưu
apology	xin lỗi
till	cho đến
